id,price,name,art,topprize,topstart,topremaining,allstart,allremaining,chancestowin,launchdate,probability
487,10,Lucky 7s Multiplier,https://www.mdlottery.com/wp-content/uploads/2020/05/Lucky-7s-Multiplier-487-Front.jpg,77777,10,2,785407,149101,25,2020-05-18T04:00:00.000Z,3.42
488,20,Lucky 777,https://www.mdlottery.com/wp-content/uploads/2020/05/Lucky-777-488-Front.jpg,1000000,7,5,1158932,716907,30,2020-05-18T04:00:00.000Z,2.94
489,5,JAMES BOND 007™,https://www.mdlottery.com/wp-content/uploads/2020/03/BOND_007_FRONT_576w_RGB.jpg,50000,8,0,1198020,44326,25,2020-03-23T04:00:00.000Z,3.77
490,10,Bingo X10,https://www.mdlottery.com/wp-content/uploads/2020/06/MD_Bingo_X10_576w_FRONT_RGB.jpg,100000,7,4,829985,421972,8,2020-06-22T04:00:00.000Z,3.24
491,1,Money Bags,https://www.mdlottery.com/wp-content/uploads/2020/07/Money_Bags_Digital_wInstructions_RGB.jpg,1000,34,20,897690,606815,9,2020-07-20T04:00:00.000Z,4.59
492,2,Ravens,https://www.mdlottery.com/wp-content/uploads/2020/07/Baltimore_Ravens_2Dollar_Front.jpg,20000,7,6,901031,573117,10,2020-07-20T04:00:00.000Z,4.04
493,5,Ravens,https://www.mdlottery.com/wp-content/uploads/2020/07/Baltimore_Ravens_5Dollar_Front.jpg,100000,7,4,1215180,706581,15,2020-07-20T04:00:00.000Z,3.79
494,3,Lucky Bingo,https://www.mdlottery.com/wp-content/uploads/2020/07/Lucky_Bingo_FRONT_576_RGB.jpg,30000,7,6,890858,607742,4,2020-07-20T04:00:00.000Z,3.82
496,2,Big Ca$h Bonu$,https://www.mdlottery.com/wp-content/uploads/2020/08/BigCash_Bonus_Digital_wInstructions_RGB.jpg,10000,7,5,785886,550332,10,2020-08-24T04:00:00.000Z,4.03
497,5,$,https://www.mdlottery.com/wp-content/uploads/2020/08/DollarSign_Green_Digital_wInstructions_RGB.jpg,50000,8,5,1051599,591728,15,2020-08-24T04:00:00.000Z,3.92
